ID_REGIAO,ID_UF,ID_MUNICIPIO,IN_PUBLICA,TX_RESP_Q01,IN_PRESENCA_LP,IN_PRESENCA_MT,PROFICIENCIA_LP_SAEB,PROFICIENCIA_MT_SAEB,IN_PREENCHIMENTO_QUESTIONARIO,NU_TIPO_NIVEL_INSE,PROFICIENCIA_TOTAL
3,32,6325267,1,Masculino,1,1,297.0,296.05,1,6,593.05
3,32,6325267,1,Feminino,1,1,269.17,301.54,1,5,570.71
3,32,6325267,1,Feminino,1,1,260.2,293.33,1,5,553.53
3,32,6325267,1,Feminino,1,1,309.54,280.35,1,8,589.8900000000001
3,32,6325267,1,Masculino,1,1,276.63,320.37,1,5,597.0
3,32,6325267,1,Masculino,1,1,240.06,259.18,1,3,499.24
3,32,6325267,1,Masculino,1,1,313.68,245.39,1,4,559.0699999999999
3,32,6325267,1,Masculino,1,1,277.9,246.18,1,4,524.0799999999999
3,32,6325267,1,Feminino,1,1,283.43,284.04,1,5,567.47
3,32,6325267,1,Masculino,1,1,304.88,274.18,1,6,579.06
3,32,6325267,1,Feminino,1,1,340.51,361.73,1,5,702.24
3,32,6325267,1,Masculino,1,1,317.62,273.35,1,3,590.97
3,32,6325267,1,Masculino,1,1,333.38,352.79,1,6,686.1700000000001
3,32,6325267,1,Feminino,1,1,292.39,219.54,1,4,511.92999999999995
3,32,6325267,1,Feminino,1,1,246.41,194.35,1,5,440.76
3,32,6325267,1,Feminino,1,1,277.53,304.37,1,5,581.9
3,32,6325267,1,Masculino,1,1,202.07,235.18,1,3,437.25
3,32,6325267,1,Feminino,1,1,219.95,261.23,1,4,481.18
3,32,6325267,1,Masculino,1,1,269.23,275.1,1,6,544.33
3,32,6325267,1,Feminino,1,1,261.03,268.66,1,5,529.69
3,32,6325267,1,Masculino,1,1,316.72,294.41,1,4,611.1300000000001
3,32,6325267,1,Feminino,1,1,258.63,248.33,1,5,506.96000000000004
3,32,6325267,1,Masculino,1,1,319.44,271.46,1,5,590.9
3,32,6325267,1,Masculino,1,1,187.2,259.64,1,3,446.84
3,32,6325267,1,Masculino,1,1,295.05,309.5,1,6,604.55
3,32,6325267,1,Feminino,1,1,344.58,306.25,1,6,650.8299999999999
3,32,6325267,1,Feminino,1,1,286.27,349.97,1,6,636.24
3,32,6325267,1,Masculino,1,1,275.2,264.87,1,5,540.0699999999999
3,32,6325267,1,Feminino,1,1,282.09,323.96,1,7,606.05
3,32,6325267,1,Feminino,1,1,312.87,278.7,1,3,591.5699999999999
3,32,6325267,1,Masculino,1,1,325.95,380.94,1,5,706.89
3,32,6325267,1,Masculino,1,1,348.27,249.4,1,5,597.67
3,32,6325267,1,Masculino,1,1,259.98,302.17,1,4,562.1500000000001
3,32,6325267,1,Feminino,1,1,263.5,261.14,1,5,524.64
3,32,6325267,1,Masculino,1,1,216.81,277.54,1,6,494.35
3,32,6325267,1,Feminino,1,1,290.18,299.08,1,3,589.26
3,32,6325267,1,Feminino,1,1,297.69,316.14,1,6,613.8299999999999
3,32,6325267,1,Feminino,1,1,290.77,261.0,1,3,551.77
3,32,6325267,1,Feminino,1,1,271.7,280.09,1,7,551.79
3,32,6325267,1,Feminino,1,1,297.03,336.69,1,6,633.72
3,32,6325267,1,Masculino,1,1,262.36,288.8,1,2,551.1600000000001
3,32,6325267,1,Masculino,1,1,227.5,251.91,1,7,479.40999999999997
3,32,6325267,1,Feminino,1,1,243.04,257.13,1,4,500.16999999999996
3,32,6325267,1,Feminino,1,1,270.26,225.41,1,7,495.66999999999996
3,32,6325267,1,Feminino,1,1,271.83,336.85,1,7,608.6800000000001
3,32,6325267,1,Masculino,1,1,358.35,379.31,1,3,737.6600000000001
3,32,6325267,1,Feminino,1,1,278.27,225.83,1,3,504.1
3,32,6325267,1,Masculino,1,1,343.94,351.17,1,5,695.11
3,32,6325267,1,Masculino,1,1,318.19,312.04,1,4,630.23
3,32,6325267,1,Masculino,1,1,307.32,372.56,1,5,679.88
3,32,6325267,1,Feminino,1,1,325.88,290.15,1,1,616.03
3,32,6325267,1,Masculino,1,1,175.92,173.06,1,6,348.98
3,32,6325267,1,.,1,1,274.55,283.31,1,2,557.86
3,32,6325267,1,Masculino,1,1,327.5,307.53,1,7,635.03
3,32,6325267,1,Masculino,1,1,327.36,323.76,1,3,651.12
3,32,6325267,1,Feminino,1,1,236.05,254.17,1,4,490.22
3,32,6325267,1,Feminino,1,1,359.45,319.37,1,7,678.8199999999999
3,32,6325267,1,Feminino,1,1,318.8,317.58,1,4,636.38
3,32,6325267,1,Feminino,1,1,287.3,312.13,1,5,599.4300000000001
3,32,6325267,1,Masculino,1,1,316.66,290.3,1,5,606.96
3,32,6325267,1,Masculino,1,1,231.53,229.79,1,5,461.32
3,32,6325267,1,Feminino,1,1,298.3,234.23,1,7,532.53
3,32,6325267,1,Masculino,1,1,270.99,250.05,1,3,521.04
3,32,6325267,1,Masculino,1,1,262.23,219.89,1,5,482.12
3,32,6325267,1,Masculino,1,1,274.73,367.54,1,3,642.27
3,32,6325267,1,Feminino,1,1,280.81,339.71,1,2,620.52
3,32,6325267,1,Feminino,1,1,258.01,264.34,1,4,522.3499999999999
3,32,6325267,1,Masculino,1,1,369.74,341.74,1,1,711.48
3,32,6325267,1,Masculino,1,1,347.27,245.41,1,1,592.68
